2025-07-21 15:01:35,431 | INFO | Application is shutting down
2025-07-21 15:01:35,454 | INFO | Successfully load style.css.
2025-07-21 15:01:35,469 | INFO | Successfully setup UI.
2025-07-21 15:37:06,357 | INFO | Application is shutting down
2025-07-21 15:37:06,371 | INFO | Successfully load style.css.
2025-07-21 15:37:06,386 | INFO | Successfully setup UI.
2025-07-21 15:37:26,108 | ERROR | Attention: Ressource introuvable: C:\Users\Satoshi\Desktop\Code\__1__Entrainement_Python\__5__Docstrings\__90__Projets\__16__PyConverter\.venv\resources\images\unchecked.png
2025-07-21 15:39:08,949 | INFO | Application is shutting down
2025-07-21 15:39:08,967 | INFO | Successfully load style.css.
2025-07-21 15:39:08,982 | INFO | Successfully setup UI.
2025-07-21 15:39:12,727 | ERROR | Attention: Ressource introuvable: C:\Users\Satoshi\Desktop\Code\__1__Entrainement_Python\__5__Docstrings\__90__Projets\__16__PyConverter\.venv\resources\images\unchecked.png
2025-07-21 15:39:44,328 | INFO | Application is shutting down
2025-07-21 15:39:44,346 | INFO | Successfully load style.css.
2025-07-21 15:39:44,375 | INFO | Successfully setup UI.
2025-07-21 15:39:47,190 | ERROR | Attention: Ressource introuvable: C:\Users\Satoshi\Desktop\Code\__1__Entrainement_Python\__5__Docstrings\__90__Projets\__16__PyConverter\.venv\resources\base\images\unchecked.png
2025-07-21 15:41:26,236 | INFO | Application is shutting down
2025-07-21 15:41:26,253 | INFO | Successfully load style.css.
2025-07-21 15:41:26,270 | INFO | Successfully setup UI.
2025-07-21 15:41:45,756 | INFO | Application is shutting down
2025-07-21 15:41:45,770 | INFO | Successfully load style.css.
2025-07-21 15:41:45,785 | INFO | Successfully setup UI.
