2026-01-27 22:38:17,411 | WARNING | Choix utilisateur non compris
2026-01-27 22:38:18,913 | WARNING | Choix utilisateur non compris
2026-01-27 22:38:21,640 | INFO | ===== Fermeture du programme =====
2026-01-27 22:39:09,372 | INFO | ==============================
2026-01-27 22:39:09,372 | INFO | ===== Debut du programme =====
2026-01-27 22:39:11,925 | WARNING | Choix utilisateur non compris
2026-01-27 22:39:13,426 | WARNING | Choix utilisateur non compris
2026-01-27 22:39:13,426 | INFO | ===== Fermeture du programme =====
2026-01-27 22:40:56,925 | INFO | ==============================
2026-01-27 22:40:56,927 | INFO | ===== Debut du programme =====
2026-01-27 22:41:00,181 | WARNING | Choix utilisateur non compris
2026-01-27 22:41:01,683 | WARNING | Choix utilisateur non compris
2026-01-27 22:41:02,986 | INFO | ===== Fermeture du programme =====
